id,hi,en
w235,cuuk,become
w236,fcLrj,bed
w237, 'k;ud{k,bedroom
w238,ls igys,before
w239, 'kq:,begin
w240, 'kq#vkr,beginning
w241,O;ogkj,behavior
w242,ihNs,behind
w243,/kkj.kk,belief
w244,fo'okl djuk,believe
w245,?kaVh,bell
w246,fdlh dk gksuk,belong
w247,uhps,below
w248,>qduk,bend
w249,uhps,beneath
w250,ykHk,benefit
w251,ds cxy esa,beside
w252,ds vfrfjä,besides
w253,"Js""B",best
w254,   'krZ,bet
w255,csgrj,better
w256,ds chp,between
w257,ijs,beyond
w258,cM+s,big
w259,cka/kuk,bind
w260,tSfod,biological
w261,i{kh,bird
w262,tUe,birth
w263,tUefnu,birthday
w264,dkVuk,bite
w265,dkyh,black
w266,"nks""k",blame
w267,dacy,blanket
w268,va/kk,blind
w269,[kaM,block
w270,jä,blood
w271,uhyk,blue
w272,eaMy,board
w273,uko,boat
w274, 'kjhj,body
w275,ce,bomb
w276,ca/ku,bond
w277,gìh,bone
w278,fdrkc,book
w279,mNky,boom
w280,lhek,border
w281,tUe,born
w282,m/kkj,borrow
w283,ekfyd,boss
w284,nksuksa,both
w285,ijs'kkuh,bother
w286,ry,bottom
w287,lhek,boundary
w288,dVksjk,bowl
w289,fMCck,box
w290,yM+dk,boy
w291,çseh,boyfriend
w292,fnekx,brain
w293,kk[kk,branch
w294,jksVh,bread
w295,VwVuk,break
w296,lqcg dk uk'rk,breakfast
w297,Lru,breast
w298,lkal,breath
w299,bZaV,brick
w300,iqy,bridge
w301,laf{kIr djsa,brief
w302,mTToy,bright
w303,çfrHkk'kkyh,brilliant
w304,ykuk,bring
w305,O;kid,broad
w306,VwVk gqvk,broken
w307,HkkbZ,brother
w308,Hkwjk,brown
w309,ctV,budget
w310,fuekZ.k,build
w311,bekjr,building
w312,xksyh,bullet
w313,>qaM,bunch
w314,cks>,burden
w315,tykuk,burn
w316,nQukuk,bury
w317,O;kikj,business
w318,O;Lr,busy
w319,ijarq,but
w320,eD[ku,butter
w321,cVu,button
w322,[kjhn,buy
w323,Øsrk,buyer
w324,}kjk,by
w325,eaf=eaMy,cabinet
w326,x.kuk,calculate
w327,f'kfoj,camp
w328,vfHk;ku,campaign
w329,dj ldrs gSa,can
w330,dSalj,cancer
w331,mEehnokj,candidate
w332,Vksih,cap
w333,{kerk,capability
w334,l{ke,capable
w335,{kerk,capacity
w336,jkt/kkuh,capital
w337,dIrku,captain
w338,dCtk,capture
w339,xkM+h,car
w340,/;ku,care
w341,O;olk;,career
w342,lko/kku,careful
w343,okgd,carrier
w344,ys tkuk,carry
w345,ekeyk,case
w346,fcYyh,cat
w347,idM+uk,catch
w348,Js.kh,category
w349,dkj.k,cause
w350,vf/kdre lhek,ceiling
w351,t'u,celebrate
w352,mRlo,celebration
w353,çfl) O;fä,celebrity
w354,dsaæ,center
w355,dsaæh;,central
w356,lnh,century
w357,eq[‍; dk;Zikyd vf/kdkjh,CEO
w358,lekjksg,ceremony
w359,fuf'pr,certain
w360,fuf'pr :i ls,certainly
w361,tathj]J`a[kyk,chain
w362,dqjlh,chair
w363,v/;{k,chairman
w364,pqukSrh,challenge
w365,d{k,chamber
w366,eksdk,chance
w367,ifjorZu,change
w368,v/;k;,chapter
w369,pfj=,character
w370,"fo'ks""krk",characteristic
w371,fpfàr djuk,characterize
w372,nku iq.;,charity
w373,pkVZ,chart
w374,ihNk djuk,chase
w375,lLrk,cheap
w376,tkapuk,check
w377,xky,cheek
w378,iuhj,cheese
w379,egkjkt,chef
w380,jklk;fud,chemical
w381,Nkrh,chest
w382,eqxhZ,chicken
w383,ç/kku,chief
w384,cPpk,child
w385,cpiu,childhood
w386,phuh,Chinese
w387,VqdM+k,chip
w388,p‚dysV,chocolate
w389,ilan,choice
w390,dksysLVª‚y,cholesterol
w391,pquuk,choose
w392,bZlkbZ,Christian
w393,fØlel,Christmas
w394,xhfjtk & ?kj,church
w395,flxjsV,cigarette
w396,o`Ùk,circle
w397,ifjfLFkfr,circumstance
w398,gokyk nsuk,cite
w399,ukxfjd,citizen
w400, 'kgj,city
w401,ukxfjd,civil
w402,nkok,claim
w403,d{kk,class
w404,LoPN,clean
w405,"Li""V",clear
w406,"Li""V :i ls",clearly
w407,xzkgd,client
w408,tyok;q,climate
w409,p<uk,climb
w410,fpfdRlky;,clinic
w411,?kM+h,clock
w412,can djuk]lehi,close
w413,oL=,clothes
w414,ckny,cloud
w415,ladsr,clue
w416,lewg,cluster
w417,çf'k{kd,coach
w418,dks;yk,coal
w419,xBca/ku,coalition
w420,rV,coast
w421,dksM,code
w422,d‚Qh,coffee
w423,laKkukRed,cognitive
w424,lnhZ,cold
w425,fxjkoV]fouk'k,collapse
w426,lkFk dke djus okyk,colleague
w427,bdëk,collect
w428,laxzg,collection
w429,lkewfgd,collective
w430,egkfo|ky;,college
w431,jax,color
w432,esy]feJ.k,combination
w433,tksM+uk,combine
w434,"vkb,",come
w435,vkjke,comfort
w436,vkjkenk;d,comfortable
w437,vkns'k,command
w438,fVIi.kh,comment
w439,O;kolkf;d]okf.kfT;d,commercial
w440,vk;ksx,commission
w441,çfrc),commit
w442,çfrc)rk,commitment
w443,lfefr,committee
w444,lkekU;,common
w445,lwpuk nsuk]lapkj djuk,communicate
w446,lapkj,communication
w447,leqnk;,community
w448,rqyuk,compare
w449,rqyuk,comparison
w450,çfrLi/kkZ,compete
w451,çfr;ksfxrk,competition
w452,çfr;ksxh,competitor
w453,f'kdk;r,complain
w454,iw.kZ,complete
w455,iwjh rjg,completely
w456,tfVy,complex
w457,my>k gqvk,complicated
w458,?kVd]vax,component
w459,fy[kuk]jpuk djuk,compose
w460,jpuk]la;kstu,composition
w461,O;kid]foLr`r,comprehensive
w462,/;ku dsafær,concentrate
w463,",dkxzrk",concentration
w464,ladYiuk]vo/kkj.kk,concept
w465,fpark,concern
w466,laxhr dk;ZØe,concert
w467,"fu""d""kZ fudkyuk",conclude
w468,"fu""d""kZ",conclusion
w469,Bksl,concrete
w470, 'krZ]ifjfLFkfr,condition
w471,lapkyu]vkpj.k,conduct
w472,lEesyu,conference
w473,vkRefo'okl,confidence
w474,fo'okl gS,confident
w475,"iqf""V djuk",confirm
w476,"la?k""kZ]Vdjko",conflict
w477,lkeuk djuk,confront
w478,my>u,confusion
w479,tksM+uk,connect
w480,laca/k,connection
w481,psruk,consciousness
w482,vke lgefr,consensus
w483,ifj.kke,consequence
w484,vifjorZuoknh]:f<+oknh,conservative
w485,fopkj djuk]ekuuk,consider
w486,egRoiw.kZ]i;kZIr,considerable
w487,fopkj,consideration
w488,cuk gksuk,consist
w489,laxr,consistent
w490,fLFkj]lrr,constant
w491,fujarj,constantly
w492,xfBr djuk]fufeZr djuk,constitute
w493,laoS/kkfud,constitutional
w494,fuekZ.k,construct
w495,lykgdkj,consultant
w496,miHkksx djuk,consume
w497,miHkksäk,consumer
w498,lsou,consumption
w499,laidZ djsa,contact
w500, 'kkfey gksuk,contain
w501,ledkyhu,contemporary
w502,"larqf""V]lkexzh",content
w503,çfr;ksfxrk,contest
w504,lanHkZ]çlax,context
w505,tkjh jguk,continue
w506,vuqca/k,contract
w507,fojks/k,contrast
w508,;ksxnku,contribute
w509,fu;a=.k,control
w510,fooknkLin,controversial
w511,fookn,controversy
w512,lEesyu,convention
w513,ikjaifjd,conventional
w514,ckrphr,conversation
w515,cnyuk,convert
w516,"/kkj.kk]nks""kflf)",conviction
w517,le>kus,convince
w518,jlksb;k,cook
w519,[kkuk cukuk,cooking
w520,BaMk,cool
w521,lg;ksx,cooperation
w522,iqfyl,cop
w523,lkeuk djuk,cope
w524,udy djuk]çfrfyfi,copy
w525,eDdk,corn
w526,dksuk,corner
w527,d‚iksZjsV]fuxfer,corporate
w528,fuxe,corporation
w529,lgh ckr,correct
w530,laoknnkrk,correspondent
w531,ykxr,cost
w532,dikl,cotton
w533,lksQk]'k¸;k,couch
w534,ldrk gS,could
w535,"ifj""kn",council
w536,ijke'kZnkrk,counselor
w537,fxurh,count
w538,fojks/k djuk]dkmaVj,counter
w539,ns'k,country
w540,lkgl,courage
w541,dkslZ]dk;Zç.kkyh,course
w542,U;k;ky;]dksVZ,court
w543,ppsjk HkkbZ,cousin
w544,vkoj.k,cover
w545,O;kfIr]dojst,coverage
w546,xk;,cow
w547,njkj,crack
w548, f'kYi,craft
w549,Vdjkuk]nq?kZVuk,crash
w550,ikxy]nhokuk,crazy
w551,eykbZ,cream
w552,cukuk]ltZu djuk,create
w553,fuekZ.k,creation
w554,jpukRed,creative
w555,çk.kh]tarq,creature
w556,Js;,credit
w557,dehZ ny]pkydny,crew
w558,vijk/k]xqukg,crime
w559,vijk/kh,criminal
w560,ladV,crisis
w561,ekunaM,criteria
w562,vkykspd,critic
w563,uktqd]ladViw.kZ,critical
w564,vkykspuk,criticism
w565,vkykspuk djuk,criticize
w566,Qly,crop
w567,ikj djuk,cross
w568,HkhM+,crowd
w569,egRoiw.kZ,crucial
w570,jksuk,cry
w571,lkaL—frd,cultural
w572,laL—fr,culture
w573,ftKklq,curious
w574,orZeku,current
w575,ikBîØe,curriculum
w576,fjokt,custom
w577,xzkgd,customer
w578,pØ,cycle
w579,firk,dad
w580,jkst,daily
w581,{kfr,damage
w582,u`R;,dance
w583,[krjk,danger
w584,[krjukd,dangerous
w585,fgEer,dare
w586,va/ksjk,dark
w587,va/ksjk,darkness
w588,rF;]MsVk,data
w589,fnukad,date
w590,csVh,daughter
w591,fnu,day
w592,e`r,dead
w593,lkSnk,deal
w594,foØsrk,dealer
w595,fç;,dear
w596,ekSr,death
w597,cgl,debate
w598,dtZ,debt
w599,n'kd,decade
w600,fu.kZ; djuk]Qslyk djuk,decide
w601,fu.kZ;]Qslyk,decision
w602,"?kks""k.kk djuk",declare
w603,iru]fxjkoV,decline
w604,deh,decrease
w605,xgjk,deep
w606,fgju,deer
w607,gkj,defeat
w608,cpko,defend
w609,çfroknh,defendant
w610,j{kk,defense
w611,?kkVk]deh,deficit
w612,"ifjHkkf""kr",define
w613,fuf'pr :i ls,definitely
w614,"ifjHkk""kk",definition
w615,foyac]nsjh djuk,delay
w616,igqapkuk,deliver
w617,forj.k]çlo,delivery
w618,ekax,demand
w619,yksd&ra=]tura=,democracy
w620,yksdrkaf=d,democratic
w621,çn'kZu]fn[kkuk,demonstrate
w622,euk,deny
w623,foHkkx,department
w624,fuHkZj,depend
w625,vkfJr]fuHkZj,dependent
w626,fpf=r djuk,depict
w627,fujk'kk,depression
w628,xgjkbZ,depth
w629,çkIr djuk,derive
w630,o.kZu,describe
w631,jsfxLrku,desert
w632,;ksX; gksuk]yk;d,deserve
w633,fMtkbu]jpuk,design
w634,bPNk,desire
w635,est]MsLd,desk
w636,csdjkj,desperate
w637,ds ckotwn,despite
w638,"u""V",destroy
w639,fouk'k,destruction
w640,foLrkj,detail
w641,irk yxkuk,detect
w642,fu/kkZfjr,determine
w643,fodflr djuk,develop
w644,fodkl,development
w645,;a=];qfä,device
w646,lefiZr]R;kx nsuk,devote
w647,laokn,dialogue
w648,ejuk,die
w649,vyx,differ
w650,varj,difference
w651,fofHkUu,different
w652,dfBu,difficult
w653,dfBukbZ,difficulty
w654,[kqnkbZ]xïk djuk,dig
w655,vk;ke,dimension
w656,jkr dk [kkuk,dinner
w657,çR;{k]lh/kk,direct
w658,fn'kk,direction
w659,lh/ks,directly
w660,funsZ'kd]funs'kd,director
w661,xanxh]feêh,dirt
w662,xank,dirty
w663,fodykaxrk]v{kerk,disability
w664,vlger,disagree
w665,xk;c gksuk,disappear
w666,vkink,disaster
w667,vuq'kklu,discipline
w668,çopu,discourse
w669,irk yxkuk][kkstuk,discover
w670,[kkst,discovery
w671,HksnHkko,discrimination
w672,ppkZ djuk,discuss
w673,fopkj&foe'kZ]ppkZ,discussion
w674,jksx,disease
w675,O;atu,dish
w676,[kkfjt,dismiss
w677,vO;oLFkk]fodkj,disorder
w678,çn'kZu,display
w679,fookn,dispute
w680,nwjh,distance
w681,nwj,distant
w682,"fof'k""V]vyx",distinct
w683,varj]Hksn,distinction
w684,varj djuk,distinguish
w685,forfjr djuk,distribute
w686,forj.k,distribution
w687,ftyk,district
w688,fofo/k,diverse
w689,fofo/krk,diversity
w690,foHkktu,divide
w691,foHkktu,division
w692,rykd,divorce
w693,djuk,do
w694,fpfdRld,doctor
w695,nLrkost,document
w696,dqÙkk,dog
w697,?kjsyw,domestic
w698,çHkkoh]çeq[k,dominant
w699,gkoh,dominate
w700,}kj,door
w701,nksxquk]nksgjk,double
w702,lansg djuk,doubt
w703,uhps,down
w704, 'kgj,downtown
w705,ntZu,dozen
w706,çk:i,draft
w707,?klhVuk][khapuk,drag
w708,ukVd,drama
w709,ukVdh;,dramatic
w710,[khapuk,draw
w711,liuk][okc,dream
w712,iks'kkd,dress
w713,is;]ihuk,drink
w714,pykuk,drive
w715,pkyd,driver
w716,cwan]fxjkuk,drop
w717,nok,drug
w718,lw[kk,dry
w719,nkSjku,during
w720,/kwy,dust
w721,drZO;,duty
w722,çR;sd,each
w723,mRlqd,eager
w724,dku,ear
w725,tYnh,early
w726,dekuk,earn
w727,dekbZ,earnings
w728,i`Foh,earth
w729,vkjke]vklkuh,ease
w730,vklkuh ls,easily
w731,iwoZ,east
w732,iwoZ dk,eastern
w733,vklku,easy
w734,[kkuk [kkuk,eat
w735,vkfFkZd,economic
w736,vFkZ'kkL=,economics
w737,vFkZO;oLFkk,economy
w738,fdukjk]/kkj,edge
w739,laLdj.k]laiknu,edition
w740,laiknd,editor
w741, f'kf{kr,educate
w742, f'k{kk,education
w743,f'k{kkRed,educational
w744,f'k{kd,educator
w745,çHkko,effect
w746,çHkkoh,effective
w747,çHkkoh :i ls,effectively
w748,{kerk]n{krk,efficiency
w749,dq'ky,efficient
w750,ç;kl,effort
w751,vaMk,egg
w752,vkB,eight
w753,"nksuksa esa ls ,d",either
w754,cqtqxZ,elderly
w755,pquuk]pquko,elect
w756,pquko,election
w757,fctyh,electric
w758,fctyh,electricity
w759,bysDVªksfud,electronic
w760,rÙo,element
w761,çkFkfed,elementary
w762,gVkuk]fudky nsuk,eliminate
w763,"lekt dk mR—""V Hkkx]vfHktkr oxZ",elite
w764,vU;,else
w765,vU;=,elsewhere
w766,bZesy,e-mail
w767,vkfyaxu,embrace
w768,mHkjuk,emerge
w769,vkikrdkyhu,emergency
w770,mRltZu,emission
w771,Hkkouk,emotion
w772,Hkkoqd]Hkkoiw.kZ,emotional
w773,tksj,emphasis
w774,tksj nsuk,emphasize
w775,jkstxkj]dke nsuk,employ
w776,deZpkjh,employee
w777,fu;ksäk,employer
w778,jkstxkj,employment
w779,[kkyh,empty
w780,l{ke,enable
w781,eqBHksM+]lkeuk djuk,encounter
w782,çksRlkfgr djuk,encourage
w783,lekIr,end
w784,nq'eu,enemy
w785,ÅtkZ,energy
w786,çorZu,enforcement
w787,layXu,engage
w788,batu,engine
w789,bathfu;j,engineer
w790,vaxzsth,English
w791,c<+kus,enhance
w792,vkuan ysuk,enjoy
w793,fo'kky,enormous
w794,i;kZIr,enough
w795,lqfuf'pr,ensure
w796,ços'k djuk,enter
w797,m|e,enterprise
w798,euksjatu,entertainment
w799,laiw.kZ,entire
w800,iwjh rjg ls,entirely
w801,ços'k,entrance
w802,ços'k,entry
w803,okrkoj.k,environment
w804,i;kZoj.k,environmental
w805,cjkcjh dk]leku,equal
w806,leku :i ls,equally
w807,midj.k,equipment
w808,;qx]dky,era
w809,#ERROR!,error
w810,cpuk]iyk;u,escape
w811,"fo'ks""k :i ls][k़kl rkSj ij",especially
w812,fuca/k,essay
w813,vko';d,essential
w814,vfuok;Z :i ls,essentially
w815,LFkkfir djuk,establish
w816,LFkkiuk,establishment
w817,laink]tk;nkn,estate
w818,vkdyu]vuqeku yxuk,estimate
w819,vkfn,etc
w820,vkpkj fopkj,ethics
w821,"latkfr fo""k;d",ethnic
w822,ewY;kadu djuk,evaluate
w823,ewY;kadu,evaluation
w824,;gk¡ rd dh]rc Hkh,even
w825, 'kke,evening
w826,?kVuk,event
w827,var esa]vkf[kjdkj,eventually
w828,dHkh,ever
w829,"gj ,d",every
w830,gj,everybody
w831,gj fnu,everyday
w832,gj dksbZ,everyone
w833,lc dqN,everything
w834,gj txg,everywhere
w835,lcwr,evidence
w836,fodkl]Øekxr mUufr,evolution
w837,fodflr djuk,evolve
w838,lVhd,exact
w839,Bhd Bhd,exactly
w840,ijh{kk,examination
w841,dh tkap,examine
w842,mnkgj.k,example
w843,ls vf/kd,exceed
w844,"vfr mR—""V",excellent
w845,ds flok;]ds vfrfjä,except
w846,viokn,exception
w847,vknku çnku]vnyk cnyh,exchange
w848,mÙksftr djusokyk]jksekapd,exciting
w849,dk;Zdkjh vf/kdkjh,executive
w850,O;k;ke,exercise
w851,çn'kZuh,exhibition
w852,vfLrRo,existence
w853,ekStwnk,existing
w854,foLrkj,expand
w855,foLrkj,expansion
w856,vis{kk djuk]mEehn,expect
w857,vis{kk]mEehn,expectation
w858,[kpZ]O;;,expense
w859,egaxk,expensive
w860,vuqHko,experience
w861,ç;ksx,experiment
w862,"fo'ks""kK",expert
w863,le>kuk,explain
w864,O;k[;k,explanation
w865,foLQksV,explode
w866,irk yxkuk][kkstuk,explore
w867,foLQksV,explosion
w868,çdV djuk]csudkc,expose
w869,çn'kZu]vukoj.k,exposure
w870,O;ä,express
w871,vfHkO;fä,expression
w872,foLrkj djuk,extend
w873,foLrkj,extension
w874,O;kid]foLr`r,extensive
w875,ek=k]lhek]foLrkj,extent
w876,ckgjh,external
w877,vfrfjä,extra
w878,vlk/kkj.k,extraordinary
w879,pje,extreme
w880,vR;ar,extremely
w881,vka[k,eye
w882,diM+k]cukoV,fabric
w883,psgjk,face
w884,lqfo/kk,facility
w885,rF;,fact
w886,dkjd,factor
w887,dkj[kkuk,factory
w888,Qhdk djuk]eqj>kuk,fade
w889,vlQy,fail
w890,foQyrk]vlQyrk,failure
w891,"fu""i{k",fair
w892,vkLFkk,faith
w893,fxjuk]iru,fall
w894,ifjfpr,familiar
w895,ifjokj,family
w896,çfl),famous
w897,ia[kk]ç'kald,fan
w898,dYiuk,fantasy
w899,nwj,far
w900,[ksr][ksrh djuk,farm
w901,fdlku,farmer
w902,rst]miokl,fast
w903,olk]eksVk]pjch,fat
w904,HkkX;]fdLer,fate
w905,firk,father
w906,"nks""k]xyrh",fault
w907,"i{k],glku",favor
w908,ilanhnk,favorite
w909,Hk;]Mj,fear
w910,"y{k.k]fo'ks""krk",feature
w911,la?kh;,federal
w912, 'kqYd,fee
w913,f[kykuk]pkjk,feed
w914,eglwl djuk,feel
w915,vuqHkwfr]Hkkouk,feeling
w916,lkFkh,fellow
w917,efgyk]eknk,female
w918,dqN,few
w919,js'kk,fiber
w920,dYiuk,fiction
w921,{ks=][ksr]eSnku,field
w922,iaæg,fifteen
w923,ikapoka,fifth
w924,yM+kbZ,fight
w925,;ks)k]yM+kdk,fighter
w926,vk—fr,figure
w927,Qkby,file
w928,Hkjuk,fill
w929,fQYe]pyfp=,film
w930,vafre,final
w931,vkf[kjdkj,finally
w932,foÙk,finance
w933,foÙkh;,financial
w934,[kkst]irk yxkuk]çkIr djuk,find
w935,Bhd,fine
w936,maxyh,finger
w937,lekIr,finish
w938,vkx,fire
w939,–<+]etcwr]daiuh,firm
w940,çFke,first
w941,eNyh,fish
w942,eNyh idM+uk,fishing
w943,mi;qä,fit
w944,mi;qärk];ksX;rk]fQVusl,fitness
w945,ikap,five
w946,Bhd djuk,fix
w947,>aMk,flag
w948,T;ksfr]ykS,flame
w949,lery,flat
w950,Lokn,flavor
w951,Hkkxuk,flee
w952,ekal,flesh
w953,mM+ku,flight
w954,rSjuk]cguk,float
w955,eafty,floor
w956,çokg]cgko,flow
w957,Qwy,flower
w958,mM+uk,fly
w959,dsfUær gksuk]Qksdl,focus
w960,yksx,folk
w961,vuqlj.k djuk]ihNk djuk,follow
w962,fuEufyf[kr,following
w963,Hkkstu,food
w964,iSj,foot
w965,QqVc‚y,football
w966,ds fy;s,for
w967,cy,force
w968,fons'kh,foreign
w969,ou,forest
w970,lnSo]ges'kk,forever
w971,Hkwyuk,forget
w972,:i]çi=]cukuk,form
w973,vkSipkfjd,formal
w974,xBu,formation
w975,iwoZ]HkwriwoZ,former
w976,lw=,formula
w977,HkkX;,fortune
w978,vkxs,forward
w979,fey x;k]LFkkiuk djuk,found
w980,vk/kkj,foundation
w981,laLFkkid,founder
w982,pkj,four
w983,pkSFkk,fourth
w984,<kapk,framework
w985,eqä,free
w986,Lora=rk,freedom
w987,fLFkj]te tkuk,freeze
w988,Ýsap,French
w989,vko`fÙk,frequency
w990,ckjackj,frequent
w991,ckj ckj]vDlj,frequently
w992,rktk,fresh
w993,fe=,friend
w994,vuqdwy,friendly
w995,fe=rk,friendship
w996,ls,from
w997,lkeus,front
w998,Qy,fruit
w999,fujk'kk,frustration
w1000,bZa/ku,fuel
w1001,iw.kZ,full
w1002,iwjh rjg ls,fully
w1003,etk,fun
w1004,lekjksg,function
w1005,fuf/k,fund
w1006,ekSfyd,fundamental
w1007,"foÙk iks""k.k",funding
w1008,vafre laLdkj,funeral
w1009,etsnkj,funny
w1010,QuhZpj,furniture
w1011,vkSj Hkh,furthermore
w1012,"Hkfo"";",future
w1013,ykHk,gain
w1014,vkdk'kxaxk,galaxy
w1015,xsyjh,gallery
w1016,[ksy,game
w1017,fxjksg,gang
w1018,vUrj,gap
w1019,xsjkt,garage
w1020,cxhpk,garden
w1021,yglqu,garlic
w1022,xSl,gas
w1023,}kj,gate
w1024,bdëk,gather
w1025,leySafxd,gay
w1026,VdVdh,gaze
w1027,fx;j,gear
w1028,fyax,gender
w1029,thu,gene
w1030,lkekU;,general
